objectid,filename,title,format,description,culture,date,subject,original medium,location,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,,,,,,,,
buner_reliefs_scythian01,Buner_reliefs_Scythian_bacchanalian_cropped.jpg,Buner Reliefs Scythian Baccanalian ,image/jpg,Digital surrogate of sculptural relief depicting 6 Scythians with various instruments performing at bacchanalia. There is a column with a Corinthian capital to the left and the face of the figure on the far right seems to have been removed.,Scythian,,relief; sculpture; Scythian,stonework,Pakistan,Wikimedia Commons,Dan Diffendale on Flickr,Buner Reliefs_Wikimedia,,S-0010,Creative Commons,This file is licensed under the Creative Commons Attribution-Share Alike 2.0 Generic license.,Image;StillImage,eng,,,,,,,,
sculpture_xiongnu01,Warring_States_Xiongnu_Gold_Tiger.jpg,Warring State Xiongnu Gold Tiger,image/jpg,Digital surrogate of metalwork depicting a golden tiger in a figurative manner with its claws depicted along the bottom and abstract fur on its body. It appears to have faces of previous prey depicted on the body. The lion holds an animal in its front paw and is seen devouring it.,Xiongnu,0476 - 0221 BCE,metalwork; Xiongnu; animals,gold,"Zhengzhou, China",Wikimedia Commons,Gary Todd,Gold Tiger,,S-0020,Creative Commons,This file is made available under the Creative Commons CC0 1.0 Universal Public Domain Dedication.,Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
belt_buckle_xiongnu02,DT5088.jpg,Belt Buckle with Paired Felines Attacking Ibexes,image/jpg,"Digital surrogate of metalwork depicting classic twisting animal motifs and interlace. Two felines are on the bottom, twisting around in a mirror image of one another to bite into the necks of two mirrored ibexes, whose antlers have decorative exterior designs and terminate at the ibexes back legs featured above them.",Xiongnu,0300 - 0100 BCE,metalwork; Xiongnu; animals,gold,Mongolia or Southern Siberia,The MET,The MET,Belt Buckle with Paired Felines,,S-0030,Public Domain,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
belt_buckle_xiongnu03,Plaque w_3 Ibexes 2 Ret.jpg,Belt Plaque with Three Ibexes,image/jpg,"Digital surrogate of metalwork depicting three ibexes in a woodland, two standing in a side profile with their faces pointing forward and the third from a frontal view. Their curved antlers interweave with the branches around them and the two on the sides both have a leg lifted into the branches as well. ",Xiongnu,0200 - 0001 BCE,metalwork; Xiongnu; animals,bronze,Northwest China,The MET,George D. Pratt,Belt Buckle 3 Ibexes,28.68.4,S-0040,Public Domain,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
bow_brooch_visigoth01,DP30071.jpg,Bow Brooch,image/jpg,"Digital surrogate of metalwork depicting an accessory for a bow. It shows concentric lines marking the boundaries of the different sections with concentric, interweaving geometric designs within.",Visigoth,0600 - 0550 BCE,metalwork; Visigoth; weapons,"copper alloy; cast; ""tinned"" surface; iron spring and pin","Castiltierra, Spain",The MET,Fletcher Fund,Bow Brooch,47.100.21,S-0050,Public Domain,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
buckle_shank_visigoth02,DP30393.jpg,Buckle Shank,image/jpg,"Digital surrogate of metalwork, this item is part of a belt buckle. It has five sunken panels, two on the bottom, two on the long shaft, and one for the top curved section. Small knobs can be seen on the exterior of these panels. In the middle of the panels are abstract scenes of leaves, scrollwork, and possibly birds or some other such animal heads. The spring/pin is missing from this item, and the two rings on the side would have been for a belt loop.",Visigoth,0400 - 0600 CE,metalwork; Visigoth,bronze,"Madrid, Spain",THE MET,Rogers Fund; José Florit,Buckle Shank,20.153..6,S-0060,Public Domain,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
earring_sarmatian01,DP30659.jpg,Sarmatian Sardonyx Earring,image/jpg,Digital surrogate of Sarmatian ewelry. It is a single earring made of gold with 3 teardrop-shaped sardonyx gems at the top with triangular gold prongs holding them in place. Around the gems is braided wire terminating in a gold disc at the tips. Below the gems are lines of braided gold with spiral shapes on either end. Chainlink hangs from the earring terminating in twists. ,Sarmatian,0050 CE,metalwork; Sarmatian; jewelry,gold; sardonyx,"Parutyne, Ukraine",THE MET,Rogers Fund; Joseph Chmielowski,Sarmatian Earring,22.50.6,S-0070,Public Domain,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
manichaen_letter_sogdian01,Sogdian_text_Manichaean_letter.jpg,Sogdian Text Manichaean Letter,image/jpg,"Digital surrogate of text on paper, depicts the Sogdian language describing the Manichaean religion. Featured are a few sacred figures decorated in red. Pieces of the text are missing.",Sogdian,0800 - 1200 CE,paper; Sogdian; text; Manichaean,"paper, ink","Turpan, Xinjiang",Wikimedia Commons,Shahryâr Zâdag,Sogdian Text,,S-0080,Public Domain,"This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 100 years or fewer.
This work is in the public domain in the United States because it was published (or registered with the U.S. Copyright Office) before January 1, 1931.",Image;StillImage,sogdian; mandarin,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
lion_plaque_scythian02,1981.67_web.jpg,Lion Plaque,image/jpg,"Digital surrogate of bronze metalwork depicting a figural lion with only holes for the eyes, spikes representing a mane along the neck and head, spikes for claws, and spiral patterns on the rear and chest of the animal.  There is some linework on the torso and on the neck, and there is a ring for some kind of attachment connecting the tail and neck. ",Iranian/Scythian,1000 - 0500 BCE,metalwork; Scythian; Iran; animals,bronze,"Iran, Middle East",Cleveland Museum of Art,Mr. and Mrs. Max Ratner,Lion Plaque_Cleveland,1981.67,S-0090,Public Domain,"You can copy, modify, and distribute this work, all without asking permission. Learn more about CMA's Open Access Initiative.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
roundel_sarmatian02,DT11000.jpg,"Roundel with a horned animal, lions, and griffins",image/jpg,"Digital surrogate of metal and stonework, this piece is a roundel with turquoise inlay and gold leaf. Turqoise lines the exterior band in semi-circles and on an inner band separating two larger bands where animals are depicted. These animals are figural and seem to represent lions and griffins with turqoise inlay that would have gone on their bodies, eyes, chests, and ears, as well as their hooves/paws. Their legs are on the outside represented by a spiraled cone with a teardrop shape for the hooves/paws. The animal in the middle of the roundel is curled back on itself and has two horns pointing forwards, with similar turqoise inlay patterns to the other animals.",Sarmatian,0300 - 0001 BCE,metalwork; Sarmatian; stonework; Steppes,"gold foil, silver, iron, semi-precious stone or paste",Eurasian steppes,The MET,George Anavian,Roundel with Animals,1970.132,S-0100,Public Domain,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
pendant_scytho_sarmatian,DP-26511-001.jpg,Pendant ,image/jpg,"Digital surrogate of metalwork, this item is a gold pendant featuring a reclining horse with chainlinks attached to its mane terminating in carnelian gems with gold discs attached to them. The body of the horse is textured in debossed dots, and there seems to have been some previous attachment on the bottom and rear of the horse.",Scytho-Sarmatian,0400 - 0200 BCE,metalwork; Scythian; Sarmatian; jewelry; Steppes; animals,"gold, carnelian",Eurasian steppes,The MET,George D. Pratt,Pendant - Scytho-Sarmatian,33.80.1,S-0110,Public Domain,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
plaque_scytho_sarmatian,DP-31067-001.jpg,Plaque,image/jpg,"Digital surrogate of metalwork, this plaque depicts a creature in some kind of landscape made up of embossed triangles and squares. There is a radial of these triangles around the neck of the creature. The embossed creature has hooves, a curled tail at the end, antlers, and the head is looking backwards with its mouth open. There are two curved lines protruding from its back and diagonal lines connect its torso to its back legs.",Scytho-Sarmatian,0500 - 0300 BCE,metalwork; Scythian; Sarmatian; Steppes; animals,gold,Eurasian steppes,The MET,George D. Pratt,Plaque_Scytho-Sarmatian,33.80.5,S-0120,Public Domain,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
dress_ornament_scythian,DP-27048-001.jpg,Dress Ornament,image/jpg,"Digital surrogate of metalwork, this item seems to depict an Eurasian elk in gold. The animal holds its held aloft, standing tall, with its antlers spreading behind it over its back. This would have been used as a dress ornament, which would likely have been attached directly to the dress.",Scythian,0500 - 0400 BCE,metalwork; Scythian; jewelry,gold,Northern Black Sea Region ,The MET,Alexandre Merle de Massoneau,Dress Ornament,24.97.55,S-0130,Public Domain,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
coat_sogdian,1996.2.1_web.jpg,Child's Coat with Ducks in Pearl Medallions,image/jpg,"Digital surrogate of textile. This item is a richly woven coat is woven in five colours, the base being in red with green and blue roundels featuring twin ducks in reds, yellows, blues, and whites. Plus-sign shaped embellishments in red, blue, and yellow decorate the space between. The outer coat is made of silk, and the pearl roundels are characteristic of Sogdian silks. The inner lining is from China and is made of twill damask with a floral pattern. This was likely made for a Tibetan prince.",Sogdian,0700 CE,textile; Sogdian; animals,silk; weft of twill,Uzbekistan,Cleveland Museum of Art,"Sarah Tremayne, J.H.Wade Fund",Child's Coat,1996.2.1,S-0140,Public Domain,"You can copy, modify, and distribute this work, all without asking permission. Learn more about CMA's Open Access Initiative.",Image;StillImage,"eng, mandarin",,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
animal_belt_koban,1988.71_web.jpg,Running Animals Belt,image/jpg,"Digital surrogate of metalwork. This belt features running animals that were punched with a fine tool, rather than drawn, a technique used around 1000 BCE.",Koban,1000 BCE,metalwork; Koban; bronze; animals,bronze,Middle East,Cleveland Museum of Art,Atlantis Antiquities,Running Animals Belt,1988.71,S-0150,Public Domain,"You can copy, modify, and distribute this work, all without asking permission. Learn more about CMA's Open Access Initiative.",Image;StillImage,eng,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
,,,,,,,,,,,,,,,,,,,,,,,,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
